Adresse_site,lat,lon,NB_passage
 avenue de la  Porte des Ternes,48.88168,2.28113,34.0
 avenue de la porte de Bagnolet,48.86485,2.40966,38.0
 avenue de la porte de Charenton,48.830331,2.400551,27.0
 boulevard du Général Martial Valin,48.837055,2.274019,51.0
 quai D'Issy,48.83428,2.26526,18.0
 quai de Bercy,48.829523,2.38699,42.0
 quai de l'Oise,48.89141,2.38482,61.0
 quai de la marne,48.89172,2.38531,107.0
Boulevard Ornano,48.89683,2.34521,84.0
Face rue d'Aubervilliers,48.890457,2.368852,49.0
Pont Charles De Gaulle,48.84223,2.36811,49.0
Pont National,48.82639,2.38448,2.0
Pont National,48.82682,2.38465,79.0
Pont de Bercy,48.83848,2.37587,46.0
Pont de la Concorde,48.86373,2.31973,116.0
Pont de la Concorde,48.86382,2.32006,101.0
Pont des Invalides,48.86279,2.31055,42.0
Pont des Invalides,48.86281,2.31037,26.0
Pont du Garigliano,48.83992,2.26708,52.0
Pont du Garigliano,48.83994,2.26692,67.0
Quai d'Orsay,48.8629,2.3118,113.0
Quai des Tuileries,48.8635,2.32239,75.0
Rue De Sèvres,48.84641,2.31524,38.0
Totem Cours la Reine,48.86462,2.31444,91.0
Totem Rue de Rivoli,48.85735,2.35211,179.0
Totem boulevard de Sébastopol,48.86377,2.35096,265.0
Totem quai d'Austerlitz,48.84201,2.36729,96.0
Voie Georges Pompidou,48.84837,2.27596,60.0
avenue Daumesnil,48.843435,2.383378,70.0
avenue Denfert Rochereau,48.83504,2.33314,58.0
avenue Denfert Rochereau,48.83505,2.33333,70.0
avenue d'Italie,48.82009,2.3588,45.0
avenue d'Italie,48.82048,2.35873,49.0
avenue de Flandre,48.889046,2.374872,73.0
avenue de Flandre,48.88926,2.37472,84.0
avenue de la Grande Armée,48.87474,2.29219,34.0
avenue de la Grande Armée,48.8748,2.2924,28.0
avenue de la Porte D'Orléans (gare routière),48.82108,2.32537,3.0
avenue de la Porte des Ternes,48.88156,2.28122,25.0
avenue des Champs Elysées,48.86999,2.30722,102.0
avenue des Champs Elysées,48.86999,2.30743,74.0
boulevard Auguste Blanqui,48.83074,2.35373,21.0
boulevard Auguste Blanqui,48.83082,2.35317,40.0
boulevard Brune,48.824237,2.321219,45.0
boulevard Brune,48.82561,2.314274,51.0
boulevard Davout,48.84935,2.41143,23.0
boulevard Diderot,48.846099,2.375456,64.0
boulevard Diderot,48.84613,2.37559,32.0
boulevard Jourdan,48.81964,2.34173,67.0
boulevard Jourdan,48.82029,2.33936,68.0
boulevard Kellermann,48.820988,2.350291,60.0
boulevard Masséna,48.821204,2.368576,44.0
boulevard Mortier,48.86922,2.408714,21.0
boulevard Poniatowski,48.834624,2.405283,48.0
boulevard Richard Lenoir,48.86077,2.37305,140.0
boulevard Richard Lenoir,48.860852,2.372279,109.0
boulevard Saint Germain,48.86179,2.32014,66.0
boulevard Soult,48.840211,2.409219,48.0
boulevard Voltaire,48.86149,2.37376,146.0
boulevard Voltaire,48.86155,2.37407,156.0
boulevard de Magenta,48.87756,2.35535,192.0
boulevard de Magenta,48.87769,2.35475,194.0
boulevard de Ménilmontant,48.860528,2.388364,151.0
boulevard du Général Martial Valin,48.837006,2.274824,62.0
boulevard du Montparnasse,48.84017,2.33438,41.0
quai François Mauriac,48.83436,2.377,61.0
quai de Grenelle,48.85174,2.28593,73.0
quai de l'Hôtel de Ville,48.85372,2.35702,34.0
quai de la Tournelle,48.85013,2.35423,118.0
rue Julia Bartet,48.82624,2.30281,58.0
rue La Fayette,48.87773,2.3506,84.0
rue La Fayette,48.87813,2.3497,0.0
rue Lecourbe,48.84209,2.30115,44.0
rue Lecourbe,48.84222,2.30102,48.0
rue Saint Jacques,48.851131,2.345678,121.0
rue Turbigo,48.86502,2.35387,122.0
rue de Vaugirard,48.83985,2.30202,87.0
